Ps.no,Na-47,Pti,Pmln,Ppp,Ji,Mnk,Tlp
151,"Islamabad Model School for Girls (I-V) Herno Thanda Pani, Islamabad. (Female)",335,189,15,23,92,56
152,"Islamabad Model College for Boys (VI-XII) Nilore, Islamabad. (Combined)",200,133,10,26,45,47
153,"Islamabad Model College for Girls, Nilore Islamabad. (Male)",312,197,8,36,174,66
154,"Islamabad Model College for Girls, Nilore Islamabad. (Female)",252,182,7,25,138,34
155,"Islamabad Model College for Girls, Nilore Islamabad. (Male)",209,118,17,20,173,60
156,"Islamabad Model College for Girls, Nilore Islamabad. (Female)",133,96,12,13,135,28
157,"Islamabad Model School for Girls (I-X) Darkala, Islamabad. (Male)",259,316,0,6,52,74
158,"Islamabad Model School for Girls (I-X) Darkala, Islamabad. (Female)",231,292,7,2,37,28
159,"Islamabad Model School for Boys (I-V) ARA, Islamabad. (Combined)",113,82,197,34,41,35
160,"Islamabad Model School for Boys (I-VIII) Della, Islamabad. (Male)",249,249,9,7,299,50
161,"Islamabad Model School for Boys (I-VIII) Della, Islamabad. (Female)",245,229,15,8,253,28
162,"Islamabad Model School for Girls (I-VIII) Kalia New, Islamabad. (Male)",169,104,13,13,506,91
163,"Islamabad Model School for Girls (I-VIII) Kalia New, Islamabad. (Female)",175,89,7,10,505,64
164,"Islamabad Model College for Girls (VI-XII) Chirah, Islamabad. (Male)",140,234,20,31,254,35
165,"Islamabad Model College for Girls (VI-XII) Chirah, Islamabad. (Female)",163,230,11,23,215,23
166,"Huzafa Aftab Shaheed Model School for Boys (I-X) Chirah, Islamabad. (Male)",296,91,16,41,193,32
167,"Huzafa Aftab Shaheed Model School for Boys (I-X) Chirah, Islamabad. (Female)",333,96,9,34,203,16
168,"Islamabad Model School for Girls (I-VIII) Kalia Old, Islamabad. (Male)",187,108,19,7,491,46
169,"Islamabad Model School for Girls (I-VIII) Kalia Old, Islamabad. (Female)",172,108,22,3,503,37
170,"Islamabad Model School for Boys (I-VIII) Kijnah, Islamabad. (Combined)",233,152,179,2,190,32
171,"Islamabad Model School for Girls/Boys (I-X) Saidpur, Islamabad. (Male)",398,211,29,8,89,57
172,"Behbud English Medium Primary & Secondary School, Saidpur, Islamabad. (Female)",356,132,10,4,59,47
173,"Behbud English Medium Primary & Secondary School, Saidpur, Islamabad. (Female)",263,78,8,2,72,16
174,"Islamabad Model School for Girls/Boys (I-X) Saidpur, Islamabad, (Male)",383,115,47,6,61,35
175,"Behbud English Medium Primary & Secondary School, Saidpur, Islamabad. (Female)",328,91,43,2,45,21
